,Opawa Barrel,Dembe,Opawa Chrissy,Carlos Jewel,Oberon Bale,Gitan,Opawa Conan,Quintessa Bale
08-12-2022 15:15:35.397147,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.728076923076923)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:36.555500,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:37.625462,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:38.786087,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:39.916696,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:41.300018,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:42.713272,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:44.024529,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:45.401327,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.829411764705883)"
08-12-2022 15:15:46.626496,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:15:47.821066,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:15:48.789968,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:15:49.924881,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:15:51.054444,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.750961538461539)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:15:52.208465,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 6.355555555555556)"
08-12-2022 15:15:53.336166,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.851340206185567)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 6.355555555555556)"
