,Quick Entry,Brother Skye,Too Legit,Deep Mind,Roses Galaxy,Attuck
08-12-2022 12:43:57.688604,"(5.0, 5.2, 4.9)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.2, 3.09)","(3.0, 4.2, 3.8499999999999996)"
08-12-2022 12:43:58.762590,"(5.0, 5.2, 4.9)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.09)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:43:59.822601,"(5.0, 5.2, 4.9)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:00.835326,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:01.895239,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:02.905052,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:03.959132,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:05.001058,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.8499999999999996)"
08-12-2022 12:44:06.170572,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.1005)","(3.0, 4.1, 3.45)"
08-12-2022 12:44:07.335501,"(5.0, 5.2, 4.741176470588235)","(12.0, 14.0, 13.0)","(8.5, 19.5, 16.5)","(31.0, 70.0, 54.8)","(2.4, 3.15, 3.0705263157894738)","(3.0, 4.1, 3.5125)"
