,Desert Cowboy,Muiron,Lily Ofthe Glen,Bondi Beau,Cleaver Greene,Cupids Son
08-12-2022 13:57:15.024402,"(5.5, 10.0, 9.9)","(26.0, 48.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.8427118644067797)","(5.0, 7.2, 7.0)","(26.0, 60.0, 46.0)"
08-12-2022 13:57:16.490010,"(5.5, 10.0, 9.789473684210526)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.842909090909091)","(5.0, 7.2, 7.0)","(26.0, 60.0, 49.0)"
08-12-2022 13:57:17.948617,"(5.5, 10.0, 9.666666666666666)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.842909090909091)","(5.0, 7.2, 7.0)","(26.0, 60.0, 49.0)"
08-12-2022 13:57:19.283680,"(5.5, 10.0, 9.666666666666666)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.842909090909091)","(5.0, 7.2, 6.890322580645162)","(26.0, 60.0, 49.0)"
08-12-2022 13:57:20.603504,"(5.5, 10.0, 9.666666666666666)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.842909090909091)","(5.0, 7.2, 6.868965517241379)","(26.0, 60.0, 50.66666666666667)"
08-12-2022 13:57:21.949062,"(5.5, 10.0, 9.8)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.842909090909091)","(5.0, 7.2, 6.868965517241379)","(26.0, 60.0, 50.66666666666667)"
08-12-2022 13:57:23.150761,"(5.5, 10.0, 9.8)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.8425396825396827)","(5.0, 7.2, 6.868965517241379)","(26.0, 60.0, 55.0)"
08-12-2022 13:57:24.486968,"(5.5, 10.0, 9.88)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.652)","(1.75, 1.86, 1.8425396825396827)","(5.0, 7.2, 6.868965517241379)","(26.0, 60.0, 50.66666666666667)"
08-12-2022 13:57:25.727964,"(5.5, 10.0, 9.88)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.661904761904762)","(1.75, 1.86, 1.843076923076923)","(5.0, 7.2, 6.8933333333333335)","(26.0, 60.0, 46.0)"
08-12-2022 13:57:26.920688,"(5.5, 10.5, 9.755882352941176)","(26.0, 44.0, 33.714285714285715)","(4.8, 5.7, 5.661904761904762)","(1.75, 1.86, 1.8722857142857143)","(5.0, 7.0, 6.894736842105263)","(26.0, 60.0, 55.333333333333336)"
08-12-2022 13:57:28.156802,"(5.5, 10.5, 9.777142857142858)","(26.0, 42.0, 37.0)","(4.8, 5.7, 5.65)","(1.75, 1.88, 1.91)","(5.0, 7.0, 6.746666666666666)","(26.0, 60.0, 47.0)"
08-12-2022 13:57:29.323491,"(5.5, 10.5, 9.658823529411764)","(26.0, 42.0, 37.0)","(4.6, 5.7, 5.65)","(1.75, 1.92, 1.915)","(5.0, 6.8, 6.833333333333333)","(26.0, 60.0, 47.0)"
08-12-2022 13:57:30.535750,"(5.5, 10.5, 9.658823529411764)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.485)","(1.75, 1.93, 1.9074418604651162)","(5.0, 7.0, 6.4941176470588236)","(26.0, 60.0, 47.0)"
08-12-2022 13:57:31.825770,"(5.5, 10.5, 9.683870967741935)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.470588235294118)","(1.75, 1.94, 1.9074418604651162)","(5.0, 6.8, 6.552380952380952)","(26.0, 60.0, 47.0)"
08-12-2022 13:57:32.947347,"(5.5, 10.5, 9.683870967741935)","(26.0, 42.0, 37.0)","(4.6, 5.6, 5.470588235294118)","(1.75, 1.94, 1.9074418604651162)","(5.0, 6.8, 6.55)","(26.0, 60.0, 51.33333333333333)"
08-12-2022 13:57:34.106163,"(5.5, 10.5, 9.683870967741935)","(26.0, 42.0, 37.0)","(4.6, 5.6, 5.470588235294118)","(1.75, 1.94, 1.915)","(5.0, 6.6, 6.55)","(26.0, 60.0, 51.33333333333333)"
08-12-2022 13:57:35.356608,"(5.5, 11.0, 9.78918918918919)","(26.0, 42.0, 37.0)","(4.6, 5.6, 5.470588235294118)","(1.75, 1.94, 1.915)","(5.0, 6.6, 6.55)","(26.0, 60.0, 51.33333333333333)"
08-12-2022 13:57:36.518667,"(5.5, 11.0, 9.907317073170733)","(26.0, 42.0, 37.0)","(4.6, 5.6, 5.437037037037037)","(1.75, 1.94, 1.915)","(5.0, 6.6, 6.55)","(26.0, 60.0, 51.33333333333333)"
08-12-2022 13:57:37.715398,"(5.5, 11.0, 9.78918918918919)","(26.0, 42.0, 37.0)","(4.6, 5.6, 5.49090909090909)","(1.75, 1.94, 1.915)","(5.0, 6.6, 6.55)","(26.0, 60.0, 51.33333333333333)"
08-12-2022 13:57:38.916358,"(5.5, 11.0, 9.78918918918919)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.418181818181818)","(1.75, 1.94, 1.9066666666666665)","(5.0, 6.6, 6.55)","(26.0, 60.0, 56.285714285714285)"
08-12-2022 13:57:40.896383,"(5.5, 11.0, 9.78918918918919)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.9066666666666665)","(5.0, 6.6, 6.55)","(26.0, 55.0, 49.75)"
08-12-2022 13:57:42.238820,"(5.5, 11.0, 9.78918918918919)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.9066666666666665)","(5.0, 6.6, 6.55)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:43.520252,"(5.5, 11.0, 9.642424242424243)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.9066666666666665)","(5.0, 6.6, 6.55)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:44.847205,"(5.5, 11.0, 9.642424242424243)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.9066666666666665)","(5.0, 6.6, 6.55)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:46.271279,"(5.5, 11.0, 9.95)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.8983333333333332)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:47.561249,"(5.5, 11.0, 9.95)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.430769230769231)","(1.75, 1.94, 1.9086666666666665)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:48.909620,"(5.5, 11.0, 10.236363636363636)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9086666666666665)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:50.118596,"(5.5, 11.0, 10.236363636363636)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9086666666666665)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:51.295321,"(5.5, 11.0, 10.236363636363636)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9086666666666665)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:52.422383,"(5.5, 11.0, 10.236363636363636)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9086666666666665)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 45.45454545454545)"
08-12-2022 13:57:53.640472,"(5.5, 11.0, 10.3)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.557894736842105)","(26.0, 55.0, 47.714285714285715)"
08-12-2022 13:57:54.827135,"(5.5, 11.0, 10.475)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.557894736842105)","(26.0, 50.0, 44.666666666666664)"
08-12-2022 13:57:56.001260,"(5.5, 11.0, 10.100000000000001)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.45)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.557894736842105)","(26.0, 50.0, 44.666666666666664)"
08-12-2022 13:57:57.233587,"(5.5, 11.0, 10.100000000000001)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.35)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.557894736842105)","(26.0, 50.0, 44.666666666666664)"
08-12-2022 13:57:58.540038,"(5.5, 11.0, 10.4)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.433333333333334)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.52)","(26.0, 50.0, 39.5)"
08-12-2022 13:57:59.792863,"(5.5, 11.0, 10.4)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.433333333333334)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.542857142857143)","(26.0, 50.0, 47.0)"
08-12-2022 13:58:00.888445,"(5.5, 11.0, 10.723076923076924)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.463636363636364)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.466666666666667)","(26.0, 50.0, 39.5)"
08-12-2022 13:58:01.971409,"(5.5, 11.0, 10.89090909090909)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.48)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.52)","(26.0, 50.0, 39.5)"
08-12-2022 13:58:03.061014,"(5.5, 11.0, 10.5)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.48)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.52)","(26.0, 50.0, 39.5)"
08-12-2022 13:58:04.132648,"(5.5, 11.0, 10.5)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.48)","(1.75, 1.93, 1.9264835164835163)","(5.0, 6.6, 6.52)","(26.0, 50.0, 39.5)"
08-12-2022 13:58:05.140724,"(5.5, 11.0, 10.5)","(26.0, 42.0, 37.0)","(4.6, 5.5, 5.48)","(1.75, 1.93, 1.9244186046511627)","(5.0, 6.6, 6.52)","(26.0, 50.0, 39.5)"
08-12-2022 13:58:06.051568,"(5.5, 11.0, 10.723076923076924)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.928695652173913)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:07.016949,"(5.5, 11.0, 10.723076923076924)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.9286363636363635)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:08.069627,"(5.5, 11.0, 10.723076923076924)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.9286363636363635)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:09.070708,"(5.5, 11.0, 10.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.92)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:10.091464,"(5.5, 11.0, 10.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.909230769230769)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:11.488024,"(5.5, 11.0, 10.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.909230769230769)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:12.597303,"(5.5, 11.0, 10.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.371794871794871)","(1.75, 1.93, 1.909230769230769)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:13.695081,"(5.5, 11.0, 10.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.378260869565217)","(1.75, 1.93, 1.909230769230769)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:14.874171,"(5.5, 11.0, 10.76923076923077)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:15.922939,"(5.5, 11.0, 10.88888888888889)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.6, 6.296969696969697)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:16.956305,"(5.5, 11.0, 10.923076923076923)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.926931818181818)","(5.0, 6.4, 6.283333333333333)","(26.0, 46.0, 30.416666666666668)"
08-12-2022 13:58:17.981976,"(5.5, 12.0, 11.142857142857142)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.283333333333333)","(26.0, 46.0, 36.5)"
08-12-2022 13:58:19.161539,"(5.5, 12.0, 11.142857142857142)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.283333333333333)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:20.324331,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.283333333333333)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:21.417655,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:22.413507,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:23.508806,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:24.720935,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 41.25)","(4.6, 5.5, 5.373469387755102)","(1.75, 1.93, 1.9267073170731708)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:25.754274,"(5.5, 12.0, 11.571428571428571)","(26.0, 42.0, 41.25)","(4.6, 5.5, 5.4714285714285715)","(1.75, 1.93, 1.9322857142857142)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:26.784133,"(5.5, 12.0, 11.571428571428571)","(26.0, 42.0, 41.25)","(4.6, 5.4, 5.373913043478261)","(1.75, 1.94, 1.9322857142857142)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 39.0)"
08-12-2022 13:58:28.022759,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.75, 1.94, 1.9257894736842105)","(5.0, 6.4, 6.247619047619048)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:29.288019,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.8, 1.94, 1.924090909090909)","(5.0, 6.4, 6.248780487804878)","(26.0, 44.0, 41.85714285714286)"
08-12-2022 13:58:30.401929,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.8, 1.94, 1.9327027027027026)","(5.0, 6.4, 6.248780487804878)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:31.671748,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.8, 1.94, 1.9327027027027026)","(5.0, 6.4, 6.248780487804878)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:32.769747,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.8, 1.94, 1.9327027027027026)","(5.0, 6.4, 6.246511627906977)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:34.750950,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.276470588235294)","(1.8, 1.94, 1.9327027027027026)","(5.0, 6.4, 6.246511627906977)","(26.0, 44.0, 36.5)"
08-12-2022 13:58:36.087800,"(5.5, 12.0, 11.571428571428571)","(26.0, 44.0, 40.666666666666664)","(4.6, 5.3, 5.265)","(1.8, 1.94, 1.9327027027027026)","(5.0, 6.4, 6.246511627906977)","(26.0, 44.0, 41.5)"
