,Flying G,Indian Sky,Crooked Fellow,Rodeo Champ,Captain Dozer,J Fs Senna,Fort Hood,Rowdy River
08-12-2022 14:35:36.995287,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:38.269901,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:39.515265,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:40.894191,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:42.152110,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:43.441832,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:44.657935,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:46.066922,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.561904761904762)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:47.484492,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.63)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:48.959818,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.8, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:50.389006,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:51.901258,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:53.359654,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:54.725421,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:56.098983,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:57.427544,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:35:58.828885,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 6.746666666666666)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:00.346952,"(9.0, 15.5, 13.877777777777778)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.9)","(5.5, 7.6, 5.76)","(5.0, 6.8, 5.955555555555556)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:01.925531,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.6, 6.630769230769231)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:03.839048,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.6, 6.983333333333333)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:05.711829,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.4, 7.275)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:07.589977,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.4, 7.275)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:08.966762,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.4, 7.275)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:10.332935,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.4, 7.275)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:11.707694,"(9.0, 15.5, 14.04)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.4, 7.275)","(5.0, 6.8, 5.9363636363636365)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.0)"
08-12-2022 14:36:13.011097,"(9.0, 15.5, 11.6)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.959999999999999)","(5.5, 7.4, 7.022222222222222)","(5.0, 6.8, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.25)"
08-12-2022 14:36:14.378959,"(9.0, 15.0, 11.7)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 7.022222222222222)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.25)"
08-12-2022 14:36:15.774841,"(9.0, 15.0, 11.7)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.0)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 25.25)"
08-12-2022 14:36:17.125931,"(9.0, 15.0, 11.7)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.9)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:18.430539,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.9)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:19.838932,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:21.264430,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:22.671766,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:24.094713,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:25.434860,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:26.847626,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:28.105884,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:29.317386,"(9.0, 15.0, 10.52)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:30.571311,"(9.0, 15.0, 11.92)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:31.758324,"(9.0, 15.0, 11.92)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:32.956302,"(9.0, 15.0, 10.66)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:34.220942,"(9.0, 15.0, 10.66)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.771428571428571)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
