,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:34:52.654653,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:34:53.971355,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:34:55.276742,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:34:56.678084,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:34:58.080589,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:34:59.394880,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:00.748121,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:02.100370,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:03.406502,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:04.708434,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.466666666666667)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
