,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:54:41.755793,"(10.0, 14.0, 14.35064935064935)","(101.0, 450.0, 443.1034482758621)","(9.0, 10.5, 10.043478260869565)","(31.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.43)","(3.6, 4.1, 3.9734939759036147)","(19.0, 24.0, 23.5)","(61.0, 110.0, 87.5)","(41.0, 70.0, 63.333333333333336)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:43.342079,"(10.0, 14.5, 14.330985915492958)","(101.0, 450.0, 410.0)","(9.0, 10.5, 10.03448275862069)","(31.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.388235294117647)","(3.6, 4.1, 3.9734939759036147)","(19.0, 24.0, 23.5)","(61.0, 110.0, 95.0)","(41.0, 70.0, 58.69565217391305)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:45.050290,"(10.0, 14.5, 14.330985915492958)","(101.0, 440.0, 410.0)","(9.0, 10.5, 10.03448275862069)","(31.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.388235294117647)","(3.6, 4.1, 3.9734939759036147)","(19.0, 24.0, 23.5)","(61.0, 110.0, 95.0)","(41.0, 75.0, 58.69565217391305)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:46.655530,"(10.0, 14.5, 14.330985915492958)","(101.0, 440.0, 434.2857142857143)","(9.0, 10.5, 10.102941176470589)","(31.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.3933333333333335)","(3.6, 4.1, 3.986111111111111)","(19.0, 24.0, 23.428571428571427)","(61.0, 110.0, 95.0)","(41.0, 75.0, 60.0)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:48.490376,"(10.0, 14.5, 14.330985915492958)","(101.0, 440.0, 413.3333333333333)","(9.0, 10.5, 10.102941176470589)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.4051724137931036)","(3.6, 4.0, 3.9404255319148938)","(19.0, 24.0, 23.428571428571427)","(61.0, 110.0, 95.0)","(41.0, 75.0, 67.02127659574468)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:50.146361,"(10.0, 14.5, 14.330985915492958)","(101.0, 440.0, 413.3333333333333)","(9.0, 10.5, 10.102941176470589)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.3758064516129034)","(3.6, 3.95, 3.982608695652174)","(19.0, 24.0, 23.04)","(61.0, 110.0, 95.0)","(41.0, 75.0, 67.02127659574468)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:51.768910,"(10.0, 14.5, 14.58)","(101.0, 440.0, 435.17241379310343)","(9.0, 10.5, 10.102941176470589)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.376666666666667)","(3.6, 4.0, 3.9895833333333335)","(19.0, 24.0, 22.5)","(61.0, 110.0, 95.0)","(41.0, 75.0, 67.02127659574468)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:53.287455,"(10.0, 15.0, 14.58)","(101.0, 440.0, 416.6666666666667)","(9.0, 10.5, 10.159090909090908)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.376666666666667)","(3.6, 4.0, 3.9720930232558143)","(19.0, 24.0, 22.5)","(61.0, 110.0, 95.0)","(41.0, 75.0, 69.39393939393939)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:54.782456,"(10.0, 15.0, 14.57843137254902)","(101.0, 440.0, 416.6666666666667)","(9.0, 10.5, 10.159090909090908)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.376666666666667)","(3.6, 4.0, 3.9720930232558143)","(19.0, 24.0, 22.5)","(61.0, 110.0, 95.0)","(41.0, 70.0, 69.39393939393939)","(4.2, 5.4, 5.3578947368421055)"
08-12-2022 12:54:56.322269,"(10.0, 15.0, 14.57843137254902)","(101.0, 440.0, 416.6666666666667)","(9.0, 10.5, 10.145833333333334)","(26.0, 44.0, 42.285714285714285)","(2.7, 3.45, 3.3970588235294117)","(3.6, 4.0, 3.9720930232558143)","(19.0, 24.0, 22.5)","(61.0, 110.0, 95.0)","(41.0, 70.0, 69.39393939393939)","(4.2, 5.4, 5.3578947368421055)"
