,Arrogant Suzy,Charming Spirit,Fake Promises,Django Riggs,Lieutenant Dan,Borrowed Angel,All Inn Aussie,Davettes Diva
08-12-2022 15:18:02.763329,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.166153846153846)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:03.978643,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.166153846153846)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:05.250781,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.166153846153846)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:06.569265,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.166153846153846)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:07.712976,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.166153846153846)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:08.918364,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:10.220090,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:11.426439,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:12.631359,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 590.0)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:13.852491,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:15.066139,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:16.200386,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:17.376282,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:18.524859,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
08-12-2022 15:18:19.728353,"(41.0, 290.0, 204.66666666666666)","(5.5, 10.5, 7.071428571428571)","(4.8, 8.4, 5.273684210526316)","(4.8, 7.8, 6.2444444444444445)","(8.5, 16.5, 14.526315789473685)","(91.0, 650.0, 591.1111111111111)","(3.0, 4.3, 3.5055555555555555)","(4.4, 9.2, 4.994736842105263)"
