,Highway Man,Oodnadatta Man,Mayfair Ronnie,Akina Onyx,So Joe Mac,Waves Crashing,Thylacine
09-01-2023 16:07:17.023746,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:18.133578,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:19.208804,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:20.213987,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:21.246676,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:22.292774,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:23.305584,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:24.226877,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:25.153632,"(15.0, 90.0, 83.70833333333334)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:26.282459,"(15.0, 90.0, 75.0)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:27.381438,"(15.0, 90.0, 75.0)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:28.529184,"(15.0, 90.0, 75.0)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:29.588765,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:30.526908,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:31.627250,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:32.667660,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:33.694227,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 14.466666666666667)"
09-01-2023 16:07:34.647613,"(15.0, 90.0, 71.375)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
