,Aloha Chrome,Rays Regal,Irish Royalty,Boy Charlemagne,Murloc Bay,Cut Across Shorty,J Ds Rude Boy,Gunnin For Gold,El Bromista,Zeus War,Bronze One
09-01-2023 09:26:45.299458,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 31.5)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.705)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 162.66666666666666)"
09-01-2023 09:26:46.744337,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 31.5)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.705)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 162.66666666666666)"
09-01-2023 09:26:48.111772,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 31.5)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.705)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 162.66666666666666)"
09-01-2023 09:26:49.523550,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 31.5)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.705)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 162.66666666666666)"
09-01-2023 09:26:51.348541,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 7.4399999999999995)","(14.0, 34.0, 31.5)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.705)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 162.66666666666666)"
09-01-2023 09:26:52.970507,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.6399999999999997)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:26:54.552015,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.6399999999999997)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:26:56.153289,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:26:57.739984,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:26:59.206415,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:27:00.560591,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:27:01.960895,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
09-01-2023 09:27:03.334727,"(21.0, 230.0, 214.60714285714286)","(41.0, 230.0, 127.5)","(4.2, 9.2, 6.333333333333333)","(14.0, 34.0, 25.0)","(31.0, 230.0, 127.5)","(18.0, 110.0, 30.78125)","(2.35, 2.78, 2.71)","(6.0, 7.0, 5.6)","(5.0, 7.8, 7.04)","(17.0, 90.0, 50.5)","(51.0, 230.0, 129.5)"
