,Skyla Blue,Rock On Hunter,Tilly Banner,Abby Road,Natisas Sparkle,Zambora Blaster
09-01-2023 17:06:00.677790,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:01.949881,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:03.135904,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:04.186934,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:05.210989,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:06.457999,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:07.600742,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:08.703334,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:09.933407,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:11.097740,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:12.193409,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:13.358679,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:14.469194,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:15.593345,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
