,Emmeline Vance,Bundy Traveller,Dynamite Hope,Clawfoot,Spring Aster,Sneaky Jim,Tuta Delta,Farmor Truth
09-01-2023 11:26:59.068968,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:00.325987,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:01.733332,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:03.079457,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:04.385993,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:05.962329,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:07.465211,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:08.764307,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:10.136675,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:11.391029,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:12.657452,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
