,Wet Socks,Mystical Zendik,Mobile Doll May,Canya Hornet,Key Bon,Judgment Fay,Explosive Stare,Mighty Rhythm
09-01-2023 15:12:49.463632,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:50.628092,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:51.876755,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:53.335565,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:54.759937,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:56.103910,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:57.490072,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:12:58.822608,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:00.106143,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:01.313902,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:02.344815,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:03.522137,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:04.689443,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:05.930495,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:07.375698,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:08.679559,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:09.968979,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:11.270192,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:12.444273,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:13.574726,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:14.706293,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:15.879637,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:17.035309,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:18.220310,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:19.363006,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:20.474181,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:21.601331,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:22.780890,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:24.062951,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.29875)","(4.4, 11.0, 5.5)"
09-01-2023 15:13:25.305956,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 11.0, 6.357142857142858)"
09-01-2023 15:13:26.511778,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 11.0, 8.5)"
09-01-2023 15:13:27.600596,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:28.712501,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
