,Much More Torque,Rinnero,Bjorn Ironside,Duke Of James,Stratum Chief,Romantic Approach,Taylas One,Uninsurabal,Escaped Prisoner,Iama Princess
09-01-2023 15:07:29.211801,"(2.7, 2.9, 2.8990588235294115)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.375)","(16.0, 90.0, 37.5)","(6.5, 9.2, 8.333333333333334)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:30.495805,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.375)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.0)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:31.768351,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.375)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.142857142857142)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:33.045511,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.375)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.142857142857142)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:34.362199,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.375)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.142857142857142)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:35.621398,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 19.333333333333332)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.0)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:36.794639,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 19.333333333333332)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.0)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:38.142445,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 19.333333333333332)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.0)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:39.442224,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 19.333333333333332)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.824999999999999)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:40.746965,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 22.666666666666668)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.824999999999999)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:42.033614,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 22.666666666666668)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:43.276835,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 22.666666666666668)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:44.536793,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 22.666666666666668)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:45.738372,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:46.911842,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:48.118560,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:49.406137,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 8.1)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:50.636662,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.55)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:51.866974,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.55)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:53.058722,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.714285714285714)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:54.301307,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:55.542943,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:56.867876,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:58.156655,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
