,Saint Max,Chasing Her Tail,Thai Gem,All Day Drive,Distal,Screaming Izzy,Lothbrok Girl,Who Told Sarah
09-01-2023 14:43:48.953060,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:50.269803,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:51.543096,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:52.837282,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:54.131392,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:55.396348,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:56.619968,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:57.800158,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:43:59.036187,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:44:00.285148,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:44:01.536928,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
09-01-2023 14:44:02.765975,"(10.0, 24.0, 23.013333333333335)","(21.0, 85.0, 52.25)","(17.0, 48.0, 31.75)","(5.0, 8.6, 5.640000000000001)","(3.2, 5.4, 3.64)","(21.0, 85.0, 55.22727272727273)","(2.8, 3.95, 2.9875)","(4.8, 7.8, 7.378947368421052)"
