,Buckle Up Zabiba,Commander Beven,Hang On Sloopy,Border Star,Call Me Otto,Homer Peritas,Classy Crook,Call Me Kane
09-01-2023 18:22:04.199442,"(6.5, 12.0, 6.78)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 14.5, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 32.0, 27.625)","(11.0, 24.0, 21.0)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:05.615211,"(6.5, 12.0, 6.78)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.0, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 32.0, 27.625)","(11.0, 24.0, 21.0)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:07.051634,"(6.5, 12.0, 6.78)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.0, 9.25)","(17.0, 38.0, 25.0)","(14.0, 32.0, 27.625)","(11.0, 24.0, 21.0)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:08.492710,"(6.5, 12.0, 6.78)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.5, 10.166666666666666)","(17.0, 38.0, 25.0)","(14.0, 32.0, 28.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:09.931835,"(6.5, 11.5, 7.525)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 14.5, 10.166666666666666)","(17.0, 38.0, 25.0)","(14.0, 32.0, 28.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:11.459404,"(6.5, 11.5, 7.525)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 14.5, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 32.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:12.954442,"(6.5, 11.5, 7.525)","(2.05, 3.3, 3.110847457627118)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.0, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:14.348085,"(6.5, 11.5, 7.525)","(2.05, 3.3, 3.091016949152542)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.0, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:15.659610,"(6.5, 11.5, 7.525)","(2.05, 3.3, 3.091016949152542)","(3.5, 5.0, 3.4878048780487805)","(7.5, 15.0, 10.333333333333334)","(17.0, 38.0, 25.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:16.937888,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.091016949152542)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 19.647058823529413)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:18.268763,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.091016949152542)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 22.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:19.628229,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.091016949152542)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 22.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:20.980005,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.091016949152542)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 22.0)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 40.588235294117645)"
09-01-2023 18:22:22.463751,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.091016949152542)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 23.53846153846154)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 50.0)"
09-01-2023 18:22:23.900399,"(6.5, 11.5, 7.525)","(2.0, 3.3, 3.048)","(3.6, 5.0, 3.4878048780487805)","(8.0, 15.0, 10.333333333333334)","(17.0, 38.0, 23.53846153846154)","(14.0, 34.0, 27.5)","(11.0, 24.0, 21.6)","(26.0, 90.0, 51.81818181818181)"
