,Preston Lee,Remnants,Claretown Rocky,Invictus Ethan,Skibo Rebel
09-01-2023 13:53:33.168560,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:34.179405,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:35.257657,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:36.195258,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:37.129514,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:38.157796,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:39.057798,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:39.965614,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:40.918722,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:41.833867,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:42.811877,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:43.824539,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:44.885906,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:45.857301,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:46.755890,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:53:47.616203,"(1.01, 1.17, 1.1584615384615384)","(7.5, 19.5, 13.95)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
