,Know Intent,Impressive Nixon,Gorillas Smile,Goldstar Quinn,Epic Grace,Homebush Rose,Opawa Snowdrop,Homebush Snow
09-01-2023 09:48:37.711376,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:38.778939,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:39.900422,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:41.023771,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:42.154618,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:43.168941,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:44.179793,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:45.175133,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:46.282013,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
09-01-2023 09:48:47.364490,"(2.15, 4.8, 3.144)","(10.0, 46.0, 32.785714285714285)","(26.0, 290.0, 187.30769230769232)","(5.5, 21.0, 7.315)","(7.0, 28.0, 22.0)","(31.0, 330.0, 179.5)","(3.0, 8.6, 5.235294117647058)","(21.0, 250.0, 161.53846153846155)"
