,Clan Mcmillan,Chilly Bin,Keira Spolly,Nixon Bale,Just Admit It,Gai Water Star,Balmoral,Locked And Ready
09-01-2023 15:03:02.518131,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:03.576659,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:04.663786,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:05.736889,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:06.800238,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:07.973880,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:09.061369,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:10.219705,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:11.496129,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:12.676057,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:13.844064,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:15.053802,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:16.235899,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:17.393231,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:18.595183,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:19.833635,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:21.021772,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:22.195210,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:23.367314,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:24.475190,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:25.551836,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:26.686045,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:27.851139,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:28.918240,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:29.984410,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:31.061426,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:32.186002,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:33.250123,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:34.381296,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
