,Shadow Ban,Vinnys Charm,Slingshot Vinny,Sweet Nitro,Aussie Summer,Sash Express,Banjo Reign
09-01-2023 17:14:33.443453,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 188.0)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:34.759242,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 188.0)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:36.174777,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 188.0)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:37.445243,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 196.36363636363637)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:38.651072,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 185.0)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:39.957212,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 173.33333333333331)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:41.294819,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 173.33333333333331)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:42.396985,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 173.33333333333331)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:43.475781,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 173.33333333333331)","(26.0, 200.0, 115.0)"
09-01-2023 17:14:44.575815,"(4.8, 10.0, 9.10909090909091)","(20.0, 65.0, 44.09090909090909)","(21.0, 80.0, 45.0)","(1.24, 1.76, 1.3054545454545454)","(8.0, 17.5, 11.033333333333333)","(31.0, 330.0, 173.33333333333331)","(26.0, 200.0, 115.0)"
