,Meatloaf,Phantom Ace,Palesa Bale,Nighthawk Angel,Goldstar Darwin,Tea Time Tiger,Captain Tim,Goldstar Hope
09-01-2023 09:01:48.899947,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:49.900360,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:50.916975,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:52.125012,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:53.197235,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:54.229220,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:55.272084,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:56.308204,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:57.493475,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:58.675535,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:01:59.782532,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
