,Yuna Bale,Bruisin Bull,Silver Lad,Tiger Worm,Whiskey Roll,Muddle Puddle,Bye Bye Blues,Nitro Britt
09-01-2023 18:37:54.233504,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.242105263157895)","(11.0, 22.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:37:55.501971,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.242105263157895)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:37:56.896934,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.466666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.242105263157895)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:37:58.372449,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.466666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.242105263157895)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:37:59.967427,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.242105263157895)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:01.474229,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 5.2444444444444445)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:02.859714,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.4, 4.5)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:04.332972,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:05.804379,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:07.265130,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.458333333333333)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 21.0, 13.833333333333334)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:08.484714,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.58125)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 15.0)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:09.758067,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 15.0)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:10.879526,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 15.0)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:12.122377,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 15.0)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:13.554529,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 13.833333333333334)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:14.850326,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 13.833333333333334)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:16.334406,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 13.833333333333334)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:17.745654,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 13.833333333333334)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:19.056505,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 22.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:20.568219,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.690909090909091)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:21.894892,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 4.5)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.2, 6.071428571428571)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:23.272376,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 5.258620689655173)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.0, 6.071428571428571)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:24.650179,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 5.366666666666667)","(7.5, 15.0, 10.559999999999999)","(3.4, 5.5, 5.258620689655173)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.0, 6.071428571428571)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:26.147554,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.65)","(7.5, 15.0, 11.0)","(3.4, 5.5, 5.258620689655173)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.0, 5.4375)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:27.665134,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.65)","(7.5, 15.0, 10.625)","(3.4, 5.5, 5.258620689655173)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.0, 5.4375)","(5.0, 8.0, 7.4363636363636365)"
09-01-2023 18:38:29.200682,"(12.0, 26.0, 22.75)","(9.0, 17.0, 14.666666666666668)","(4.8, 10.5, 6.65)","(7.5, 15.0, 11.5)","(3.4, 5.5, 4.74)","(11.0, 21.0, 17.833333333333332)","(4.8, 7.0, 5.4375)","(5.0, 8.0, 7.4363636363636365)"
