,King Brockie,Heaven Scent,Flex Your Muscle,Here He Comes,Munxar Queen,Hot Barrels
09-01-2023 10:18:46.953651,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:47.832820,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:48.827399,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:49.837303,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:50.851052,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:51.789740,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:52.675335,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:53.563763,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:54.464742,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:55.422736,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:56.402946,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:57.383778,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:58.367865,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:18:59.229501,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:19:00.106963,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:19:01.064097,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
09-01-2023 10:19:01.982773,"(11.0, 21.0, 16.857142857142858)","(4.6, 7.8, 6.425)","(2.8, 4.7, 3.615)","(9.0, 19.0, 10.166666666666668)","(5.0, 9.4, 8.871559633027523)","(3.1, 6.2, 4.6257142857142854)"
