,Jeffs Rookie,Sally Souvlaki,Secret Racer,Lovely Romeo,Maggie Pearl,Kasumi Berry,Botticelli,Olive Bale
09-01-2023 10:36:39.187321,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:40.176885,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:41.245484,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:42.314240,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:43.409746,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:44.525425,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:45.629151,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:46.724798,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:47.873506,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:48.988859,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:50.098781,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:51.196280,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:52.302680,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:53.337745,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:54.416165,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:55.519051,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:56.610489,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:57.727035,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:58.748737,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:36:59.807011,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:00.827839,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:01.863943,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:02.905634,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:03.913576,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
09-01-2023 10:37:04.961176,"(19.0, 75.0, 49.31818181818182)","(5.0, 9.4, 5.128571428571428)","(21.0, 65.0, 36.875)","(14.0, 34.0, 25.041666666666668)","(11.0, 28.0, 25.906976744186046)","(15.0, 55.0, 38.541666666666664)","(1.45, 2.28, 1.9459322033898303)","(7.5, 16.5, 8.700000000000001)"
