,Nockatunga,Aston Hayato,All Show,Charlie Brother,Craggy Island
09-01-2023 18:14:34.540792,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:35.475789,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:36.456449,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:37.514067,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:38.383653,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:39.375673,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:40.412225,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:41.383642,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:42.332473,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:43.182119,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:44.108014,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:45.122703,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:46.148352,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:47.108454,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:47.944599,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:48.850877,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:49.796327,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:50.751529,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:51.773514,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:52.632511,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:53.511714,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:54.481747,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:55.413401,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:56.314968,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:57.193762,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:58.126243,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:14:59.105071,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:00.061180,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:00.955744,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:01.859758,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:02.747328,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:03.695465,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:04.630461,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
09-01-2023 18:15:05.535987,"(5.0, 10.5, 7.1875)","(7.5, 17.0, 9.114285714285714)","(18.0, 55.0, 30.666666666666664)","(6.0, 9.8, 5.888888888888889)","(1.45, 1.87, 1.738709677419355)"
