,Jayville Glory,Blazing Lexi,Like A Lorry,Jax Star,Roxy Crumpet,Kenzie Bale,Chappys Girl,Aaron Alpaca
09-01-2023 12:41:51.014425,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:52.052489,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:53.151893,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:54.171236,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:55.324564,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:56.441334,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:57.458497,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:58.515100,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 31.807692307692307)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:41:59.609666,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 29.045454545454547)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:00.728142,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 34.5)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:01.876142,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 34.5)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:02.976124,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 14.391304347826086)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 30.333333333333336)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:04.045238,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 13.905263157894737)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 30.333333333333336)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:05.038224,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 13.905263157894737)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 30.333333333333336)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
09-01-2023 12:42:05.998340,"(10.0, 25.0, 20.77777777777778)","(7.0, 17.0, 13.905263157894737)","(3.3, 5.5, 3.439583333333333)","(11.0, 22.0, 21.142857142857142)","(16.0, 42.0, 30.333333333333336)","(26.0, 80.0, 58.57142857142857)","(2.5, 3.4, 2.616)","(5.5, 13.0, 6.688888888888889)"
