,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:55:53.026910,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 23.458333333333332)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 8.2)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.8813636363636363)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:54.109170,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 23.458333333333332)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 8.2)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.8813636363636363)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:55.240429,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 23.458333333333332)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 8.2)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.8813636363636363)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:56.277623,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 23.458333333333332)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 8.2)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.8813636363636363)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:57.291135,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 18.125)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:58.347426,"(8.0, 14.0, 12.719999999999999)","(12.0, 32.0, 19.77777777777778)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:55:59.453854,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.5)","(6.0, 17.0, 14.399999999999999)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:00.526174,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 18.125)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:01.677237,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.5)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:02.658613,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.5)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 4.0125)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
