,Finance Boom,Suppose I Do,Chalice Well,Im Over Dancing,Its My Turn,Refreshing,Upforthechallenge,Wango Award,Zoom Torino
10-01-2023 12:05:40.630676,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.98)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:41.839346,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.98)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:43.088491,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.98)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:44.284783,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:45.484402,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:46.775961,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:47.921469,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:49.304403,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:50.588409,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
10-01-2023 12:05:52.047904,"(10.0, 12.5, 11.5)","(10.0, 11.5, 11.456521739130435)","(5.5, 8.2, 7.88)","(10.0, 13.5, 12.545454545454545)","(3.5, 4.2, 4.19)","(5.0, 7.8, 7.5)","(101.0, 200.0, 140.0)","(3.4, 4.1, 3.955769230769231)","(51.0, 550.0, 508.5185185185185)"
