,Destini Phantom,Leichhardt Roar,Drama Kids,My Joy,Fernando Belle,Prince Jewels,Role Model,Connors Comet
10-01-2023 17:38:15.184923,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:16.548934,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:17.895506,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:19.224890,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:20.536711,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:21.814452,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:23.114292,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:24.558695,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:25.966969,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:27.295595,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:28.581744,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:29.865453,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:31.163869,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:32.446614,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:33.735860,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:35.043735,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:36.397796,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:37.644940,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:38.928533,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:40.246467,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:41.535866,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:42.891378,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:44.198205,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:45.635485,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:47.170206,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:48.536085,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:49.881221,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:51.619989,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:53.126347,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:54.540824,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:56.165928,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:57.589155,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:38:58.889376,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:00.230938,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:01.567101,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:02.952976,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:04.290959,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:05.560521,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:06.740184,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:07.900234,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:09.144958,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:10.450772,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:11.674837,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:12.925909,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:14.140188,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:15.296792,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:16.470606,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
