,Jamboree June,Quorra Bale,Zipper It Man,Henry The Hawk,More Issues,Sweet Tooth,Dana Rocket,Sweet Laurel Lyn
10-01-2023 13:50:51.845473,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:53.046013,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:54.239440,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:55.387503,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:56.587176,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:57.775542,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:50:58.922049,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:51:00.131355,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 28.96)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:51:01.295895,"(5.0, 7.8, 6.833333333333333)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 29.833333333333336)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
10-01-2023 13:51:02.475415,"(5.0, 7.8, 7.536363636363637)","(21.0, 60.0, 36.61538461538461)","(1.8, 2.62, 2.425)","(8.5, 34.0, 29.833333333333336)","(14.0, 30.0, 26.125)","(31.0, 100.0, 76.34782608695652)","(5.0, 8.6, 8.149999999999999)","(11.0, 25.0, 22.214285714285715)"
