,Crimosa,Man In Motion,Eastern Breeze,Mr Brown Fox,Prophets Daughter,Nans Obsession,Bint Alqamar,Zoulon,Rich Velvet,Beejays Hero
10-01-2023 16:13:01.326452,"(3.5, 4.4, 4.300000000000001)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.725)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:02.965622,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.725)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:04.506993,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.725)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:06.142700,"(3.5, 4.4, 4.300000000000001)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.725)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:07.697814,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:09.272120,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:10.747536,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:12.199546,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:13.761506,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
10-01-2023 16:13:15.487423,"(3.5, 4.4, 4.271428571428571)","(17.0, 24.0, 22.714285714285715)","(4.8, 7.8, 7.766666666666667)","(12.0, 21.0, 18.9)","(2.7, 3.35, 3.2552631578947366)","(13.0, 18.5, 16.423076923076923)","(31.0, 65.0, 59.833333333333336)","(6.5, 8.4, 8.123076923076923)","(31.0, 48.0, 40.8)","(91.0, 220.0, 197.27272727272725)"
