,Elizabethan Era,Arma Veyron,Moreartsthanclass,Whereyagoinbabe,Martha Lavinia,Dougs Cino,Moneymakinmonkey,Ronzel Micky,Maxines Delight,Coco Beach
10-01-2023 20:26:40.043651,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:41.543655,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:42.953818,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:44.433843,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:45.662907,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:46.963904,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:48.263906,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:49.590285,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:51.059401,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
10-01-2023 20:26:52.453503,"(61.0, 180.0, 142.85714285714286)","(3.2, 4.1, 3.4666666666666663)","(21.0, 40.0, 35.111111111111114)","(4.6, 7.0, 5.96)","(6.0, 9.8, 8.714285714285715)","(7.5, 13.5, 11.533333333333333)","(11.0, 20.0, 15.84)","(81.0, 210.0, 170.0)","(8.5, 15.0, 10.6)","(5.0, 7.2, 5.907692307692308)"
