,Hazey Roy,Miss Maddy Lee,Chasing Clout,Purdys Chance,Bob Barker
10-01-2023 13:08:33.977170,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:34.986533,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:36.015181,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:36.879943,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:37.888815,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:38.935695,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:39.810086,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:40.787850,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:41.808910,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:42.814371,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:08:43.745764,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
