,Nakula Nz,Rock Supreme,Fortes In Fide,Major Mischief,Rosarito,Chal Be Nz,Devouged,Magicol Ideal Nz,Jingles Bromac Nz,Motu Cullen Nz
10-01-2023 15:25:20.670422,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:21.855529,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:23.065659,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:24.263030,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:25.393142,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:26.621891,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:27.849888,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:29.288445,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:30.725432,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:32.020809,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:33.377224,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
10-01-2023 15:25:34.679476,"(2.3, 99999, 99990)","(8.0, 14.0, 11.0)","(26.0, 55.0, 48.0)","(5.5, 9.2, 7.6)","(41.0, 120.0, 78.0)","(8.5, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.3, 99999, 99990)"
