,Online Model,Balmy Bob,Loseashoe,Grenade,Champagne Stride,Im Alright Jack,Shes My Little Gem,Lilbitahenrytee,Courtney Katarina
10-01-2023 16:08:53.565893,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.3575)","(21.0, 55.0, 45.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:08:54.962737,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.3575)","(21.0, 55.0, 45.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:08:56.388705,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.3575)","(21.0, 55.0, 45.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:08:57.886344,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.3575)","(21.0, 55.0, 45.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:08:59.330421,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.3575)","(21.0, 55.0, 45.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:00.693256,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.386)","(21.0, 55.0, 48.666666666666664)","(14.0, 29.0, 20.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:02.104447,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.386)","(21.0, 55.0, 48.666666666666664)","(14.0, 29.0, 20.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:03.912257,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.386)","(21.0, 55.0, 48.666666666666664)","(14.0, 29.0, 20.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:05.432107,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.386)","(21.0, 55.0, 48.666666666666664)","(14.0, 29.0, 20.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:07.039414,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.386)","(21.0, 55.0, 48.666666666666664)","(14.0, 29.0, 20.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:08.612568,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 36.92857142857143)","(1.26, 1.41, 1.4)","(21.0, 55.0, 43.0)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:10.141846,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 35.0)","(1.26, 1.41, 1.4)","(21.0, 50.0, 43.0)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:11.638869,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 14.5, 10.944444444444445)","(21.0, 50.0, 35.0)","(1.26, 1.41, 1.4)","(21.0, 50.0, 43.0)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
