,Roscos Rescue,Stonebridge Star,White Star Village,Pete Mitchell,Rainbow Rain,Bulldog Brawler,I Runformum,Storm Stride,Mista Pumblechook,Half Moon Beach
10-01-2023 17:07:10.382391,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(6.0, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:11.674151,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(6.0, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:12.992462,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(6.0, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:14.530091,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:15.951555,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:17.392279,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:18.955400,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.4, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:20.707915,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.6, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:22.026902,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.6, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
10-01-2023 17:07:23.312008,"(3.3, 4.6, 3.8730769230769226)","(21.0, 46.0, 28.666666666666664)","(5.5, 8.8, 7.4)","(4.6, 7.2, 6.15)","(8.5, 14.5, 12.333333333333332)","(11.0, 19.0, 15.6)","(7.5, 11.5, 10.042857142857143)","(21.0, 38.0, 25.0)","(14.0, 19.0, 17.0)","(9.0, 15.0, 12.36)"
