,Set Us Free,Inordinate,Rebel Racer,Dixie Built,Hollerween,Turin,Black Banjo,Manhattan Sting,Fabiola,Hesontherun,Delightful Hustler,Anything But
10-01-2023 14:49:08.690901,"(14.0, 20.0, 18.5)","(3.7, 4.7, 4.666666666666667)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 7.8, 7.5600000000000005)","(3.9, 4.4, 4.358098591549296)","(41.0, 40.0, 37.77777777777778)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.632352941176471)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:10.152241,"(14.0, 20.0, 18.5)","(3.7, 4.7, 4.666666666666667)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 7.8, 7.5600000000000005)","(3.9, 4.4, 4.358098591549296)","(41.0, 38.0, 37.77777777777778)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.632352941176471)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:11.546625,"(14.0, 20.0, 18.5)","(3.7, 4.7, 4.684)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.4, 4.353054662379422)","(41.0, 38.0, 39.55555555555556)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.632352941176471)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:12.914380,"(14.0, 20.0, 18.5)","(3.7, 4.7, 4.684)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.4, 4.353054662379422)","(41.0, 40.0, 39.04761904761905)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.632352941176471)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:14.280816,"(14.0, 19.5, 19.071428571428573)","(3.7, 4.7, 4.684)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.4, 4.423134328358209)","(41.0, 40.0, 39.04761904761905)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.632352941176471)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:15.629134,"(14.0, 19.5, 19.071428571428573)","(3.7, 4.7, 4.684)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.5, 4.428260869565218)","(41.0, 40.0, 39.04761904761905)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.535294117647059)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 215.0)"
10-01-2023 14:49:17.011559,"(14.0, 19.5, 19.071428571428573)","(3.7, 4.7, 4.681818181818182)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.5, 4.428260869565218)","(41.0, 40.0, 39.04761904761905)","(101.0, 130.0, 124.0)","(10.0, 13.0, 12.310344827586206)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 215.0)"
10-01-2023 14:49:18.344923,"(14.0, 19.5, 19.166666666666668)","(3.7, 4.7, 4.681818181818182)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.5, 4.428260869565218)","(41.0, 40.0, 39.76470588235294)","(101.0, 130.0, 123.75)","(10.0, 12.5, 12.090909090909092)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:19.727145,"(14.0, 19.0, 18.823529411764707)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 7.8, 7.526315789473684)","(3.9, 4.5, 4.428260869565218)","(41.0, 40.0, 42.8)","(101.0, 130.0, 123.75)","(10.0, 13.0, 12.266666666666667)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:21.127735,"(14.0, 19.0, 18.823529411764707)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 7.8, 8.008695652173913)","(3.9, 4.5, 4.428260869565218)","(41.0, 46.0, 42.45161290322581)","(101.0, 130.0, 123.75)","(10.0, 12.5, 11.6)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:22.572161,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.066666666666666)","(3.9, 4.5, 4.428260869565218)","(41.0, 46.0, 43.61904761904762)","(101.0, 130.0, 123.75)","(10.0, 12.5, 11.5)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 196.66666666666666)"
10-01-2023 14:49:23.921892,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.0)","(3.9, 4.5, 4.428260869565218)","(41.0, 44.0, 43.55555555555556)","(101.0, 130.0, 130.0)","(10.0, 12.0, 11.5)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.025641025641026)","(101.0, 230.0, 207.5)"
