,Scotch And Coke,Whisky Ninja,Tobys Snag,Planet Ruler,Excavator Ticket,Dr Spokes,Dr Delana,My Girl Whizbang
10-01-2023 19:15:46.184639,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 20.03846153846154)","(10.0, 24.0, 20.210526315789473)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 129.5)"
10-01-2023 19:15:47.734265,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 20.03846153846154)","(10.0, 24.0, 20.210526315789473)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 129.5)"
10-01-2023 19:15:49.283640,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.533333333333335)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:50.707275,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.307575757575758)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.533333333333335)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:52.109285,"(5.5, 10.5, 6.449999999999999)","(6.5, 12.0, 7.949999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.7, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:53.562243,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:54.924278,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:56.380529,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:57.772969,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:15:59.189552,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:16:00.599772,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
10-01-2023 19:16:01.925071,"(5.5, 10.5, 6.449999999999999)","(6.5, 11.5, 7.824999999999999)","(3.4, 5.6, 4.338636363636364)","(4.0, 5.6, 5.2287878787878785)","(12.0, 26.0, 16.0)","(10.0, 24.0, 14.399999999999999)","(4.2, 7.2, 5.923809523809524)","(31.0, 230.0, 100.78571428571429)"
