,Tah Nathan,Jarrods Boy,Monos Thunder,Lost Magic,Just Casper,Nitro Disco,Tah Bamber,Tah Lindsey
10-01-2023 10:51:40.911794,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:41.878116,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:42.839713,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:43.797444,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:44.761931,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:45.726872,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:46.691059,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:47.644015,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:48.601722,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:49.552107,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
10-01-2023 10:51:50.491301,"(6.0, 13.0, 6.688888888888889)","(6.5, 12.5, 10.431818181818182)","(7.5, 15.0, 12.052631578947368)","(8.5, 20.0, 10.333333333333334)","(3.3, 6.4, 4.615151515151515)","(3.3, 5.8, 3.9080645161290324)","(10.0, 22.0, 17.5)","(21.0, 75.0, 49.31818181818182)"
