,Vidris Bale,Scarlett Express,Malibu Bale,She Devil,Riverdale Bud,Judys Redeemer,Tiggerlong Egg
10-01-2023 14:22:24.048902,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:25.333195,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:26.619855,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:27.914331,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:29.139895,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:30.309921,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:31.552910,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:32.839497,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:34.114076,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:35.375901,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:36.643841,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:37.999549,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 16.375)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:39.350662,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:40.736156,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:41.915115,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:43.140286,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:44.294131,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:45.562522,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:46.949911,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:48.258170,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:49.559269,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.375)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:50.955144,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:52.340235,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:53.683056,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:54.921073,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:56.213006,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:57.448834,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:22:58.782325,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:23:00.091239,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:23:01.398712,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:23:02.814251,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 12.26)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 139.5)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
