,Dr Evergreen,My Cool Jack,Percussion,Charlie Chana,Alness Treasure,Our Purple Haze,Feel Like Flying
10-01-2023 20:38:49.022276,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:50.166905,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:51.303014,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:52.303150,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:53.384438,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:54.474385,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:55.622815,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:56.712007,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:57.762984,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
10-01-2023 20:38:58.766239,"(7.5, 14.0, 7.175)","(1.75, 2.64, 1.820357142857143)","(11.0, 26.0, 24.75)","(10.0, 20.0, 16.214285714285715)","(8.5, 17.5, 11.433333333333334)","(5.5, 10.5, 6.9)","(7.5, 15.0, 10.066666666666666)"
