,Opawa Hugo,Zipping Chassis,Opawa Duchess,Diamond Leaha,Silky Adobe,Goldstar Walker,Nighthawk Jet,Lets Party
10-01-2023 09:58:53.699057,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:54.712553,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:55.700385,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:56.730982,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:57.705623,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:58.722913,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:58:59.715613,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:00.728049,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:01.702543,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:02.687165,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
