,Smiling Walnut,Chinotto Girl,Jingalong Lotte,Ginger Jess,Shaq Owes,Eris Lucy,Winter Skye,Shrimp Boat
10-01-2023 18:19:50.958412,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 72.14285714285714)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:52.169372,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:53.306923,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:54.499414,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:55.645890,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:56.682723,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:57.765711,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:58.891833,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:19:59.965925,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:20:01.039853,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:20:02.245158,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:20:03.302056,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:20:04.432197,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 58.0)","(16.0, 42.0, 34.875)","(31.0, 180.0, 56.45454545454545)","(3.5, 5.7, 3.5)","(19.0, 65.0, 36.875)"
10-01-2023 18:20:05.590370,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 32.086956521739125)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.7, 3.5)","(17.0, 65.0, 38.14285714285714)"
10-01-2023 18:20:06.724515,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.7, 3.5)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:07.855281,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.7, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:08.986568,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:10.129796,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:11.263302,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 5.257142857142857)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:12.389266,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:13.543622,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:14.759989,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:15.895843,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:17.023179,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:18.162653,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
