,Hurunui Mouse,Homebush Madison,Miss Matilda,Mr Muggins,Go Again,Homebush Faith
10-01-2023 08:01:45.709098,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:46.619941,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:47.509346,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:48.428191,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:49.408415,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:50.311157,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:51.225714,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:52.106776,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:52.953442,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:53.882961,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:54.765580,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:55.633613,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:56.517523,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:57.369304,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:58.253760,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:01:59.119181,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:00.004778,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:00.884517,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:01.776030,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:02.675477,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:03.604255,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:04.479698,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:05.384596,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:06.246962,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:07.143521,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:08.032011,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:08.926415,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:09.907157,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:10.791052,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:11.679463,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:12.535056,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:13.389331,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:14.252218,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:15.123382,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:16.038458,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:16.900204,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:02:17.770160,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
