,Memumsmedad,Mungerannie,My Prediction,Nahnah Not Me,Star Of Kongo,Tyita,Grinzinger Castle,Italian Virtuoso,Sobart,Golden Beauty,Young Trella,Dupont
10-01-2023 13:43:47.971538,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 16.1)","(2.2, 2.6, 2.5717391304347825)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.330769230769231)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.5)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:49.615385,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 16.0)","(2.2, 2.6, 2.5433333333333334)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.330769230769231)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.5)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:51.211266,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 16.0)","(2.2, 2.58, 2.5433333333333334)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.330769230769231)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.666666666666668)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:52.752136,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 16.0)","(2.2, 2.58, 2.5433333333333334)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.330769230769231)","(51.0, 190.0, 140.0)","(13.0, 22.0, 21.727272727272727)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:54.219938,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 16.0)","(2.2, 2.58, 2.5433333333333334)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.330769230769231)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.727272727272727)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:55.761795,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 16.5, 17.1)","(2.2, 2.56, 2.545)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.727272727272727)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:57.342269,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 17.1)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 140.0)","(13.0, 23.0, 21.727272727272727)","(101.0, 450.0, 355.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:43:59.007544,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.5)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 450.0, 333.3333333333333)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:00.557632,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.5)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 480.0, 333.3333333333333)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:02.104469,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 480.0, 333.3333333333333)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:03.651476,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 480.0, 333.3333333333333)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:05.198300,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 480.0, 330.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:06.702378,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.546153846153846)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:08.353648,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.5272727272727273)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.4, 7.358333333333333)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:10.160144,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.521081081081081)","(7.0, 9.4, 9.022222222222222)","(6.5, 7.4, 7.371428571428571)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.8, 5.588888888888889)"
10-01-2023 13:44:11.878160,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.521081081081081)","(7.0, 9.2, 8.966666666666667)","(6.5, 7.6, 7.585714285714285)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.8, 5.614285714285715)"
10-01-2023 13:44:13.623112,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.521081081081081)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.6, 7.583783783783783)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.7, 5.572727272727273)"
10-01-2023 13:44:15.299879,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.521081081081081)","(7.0, 9.4, 8.966666666666667)","(6.5, 7.6, 7.583783783783783)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.7, 5.572727272727273)"
10-01-2023 13:44:16.928301,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.56, 2.4857142857142858)","(7.0, 9.4, 9.045454545454547)","(6.5, 7.6, 7.583783783783783)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.7, 5.630769230769231)"
10-01-2023 13:44:18.524481,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.5, 2.4857142857142858)","(7.0, 9.4, 9.045454545454547)","(6.5, 7.6, 7.583783783783783)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.7, 5.630769230769231)"
10-01-2023 13:44:20.091410,"(17.0, 34.0, 31.714285714285715)","(61.0, 120.0, 105.0)","(101.0, 210.0, 188.8235294117647)","(41.0, 70.0, 60.0)","(10.0, 17.5, 16.166666666666668)","(2.2, 2.5, 2.4857142857142858)","(7.0, 9.4, 9.045454545454547)","(6.5, 7.6, 7.583783783783783)","(51.0, 190.0, 123.33333333333333)","(13.0, 23.0, 21.727272727272727)","(101.0, 470.0, 330.0)","(4.6, 5.7, 5.630769230769231)"
10-01-2023 13:44:21.658533,"(17.0, 34.0, 31.857142857142858)","(61.0, 120.0, 105.0)","(101.0, 210.0, 180.0)","(41.0, 70.0, 67.25)","(10.0, 17.5, 15.892857142857142)","(2.2, 2.5, 2.4657142857142857)","(7.0, 9.4, 9.127272727272727)","(6.5, 7.6, 7.546153846153846)","(51.0, 190.0, 163.52941176470588)","(13.0, 23.0, 20.9)","(101.0, 470.0, 360.0)","(4.6, 5.7, 5.6571428571428575)"
