,Estonian Lady,Love Letter,Professor Sirius,Spring Flare,Silver Skylark,Summer Fiesta,Henry Delatt,Snake Eyes Senna
10-01-2023 14:54:49.742994,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 250.0)","(14.0, 180.0, 138.25)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:50.874899,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 250.0)","(14.0, 180.0, 138.25)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:52.144075,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 250.0)","(14.0, 180.0, 138.25)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:53.408818,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 250.0)","(14.0, 180.0, 138.25)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:54.650040,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:55.936321,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:57.252688,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:54:58.700723,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:00.059729,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:01.324138,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:02.683929,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:03.988903,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:05.207878,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:06.396270,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:07.595881,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:08.808471,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:10.080292,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:11.252430,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:12.492766,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:13.805042,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
10-01-2023 14:55:15.108649,"(3.5, 11.0, 3.692307692307692)","(5.0, 11.0, 6.35)","(5.5, 10.0, 9.280000000000001)","(2.6, 5.5, 4.845161290322581)","(51.0, 550.0, 298.0)","(101.0, 650.0, 450.0)","(14.0, 180.0, 156.07142857142856)","(5.0, 14.0, 7.866666666666666)"
