,Pepper Spray,Barossa,Midnight Mojo,The Black Strat,Pure Rocket,Forgotten Vows,The Green Crusader,Exxel
10-01-2023 08:05:18.219600,"(3.2, 4.4, 4.29375)","(2.5, 3.2, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:19.260609,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:20.272629,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:21.294285,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:22.349444,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:23.423455,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:24.517020,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:25.545628,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:26.567530,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:27.564902,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:28.571329,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:29.614896,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:30.638511,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:31.692687,"(3.2, 4.4, 4.1875)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:32.702741,"(3.2, 4.4, 3.86875)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:33.748222,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:34.809726,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.0, 10.166666666666668)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:35.823784,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:36.897671,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:37.881532,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
