,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:25:50.945143,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.854)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:51.850709,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.854)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:52.796167,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.82)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:53.685312,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.8280952380952382)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:54.570049,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.8280952380952382)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:55.491355,"(2.6, 4.0, 3.775)","(1.9, 1.99, 1.9632407407407408)","(4.2, 8.2, 6.5)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:56.394520,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.2, 6.657142857142857)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:57.289514,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.2, 6.657142857142857)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:58.304333,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.2, 6.657142857142857)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:25:59.450106,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.2, 6.657142857142857)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:26:00.309185,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.2, 6.657142857142857)","(101.0, 730.0, 564.375)","(12.0, 24.0, 23.25)"
10-01-2023 14:26:01.213808,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:02.206577,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:03.149462,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:04.166614,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:05.155346,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:06.028529,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:07.125201,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:08.222677,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:09.196466,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:10.090540,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:11.035141,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:11.998791,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
