,Mr Magic Man,Miss Aquaholic,Go Forward Layla,Midnight Blaze,Shes A Magician,Norah Sunrise
10-01-2023 18:19:52.353895,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.216666666666667)"
10-01-2023 18:19:53.373442,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.16)"
10-01-2023 18:19:54.404382,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.16)"
10-01-2023 18:19:55.376845,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.16)"
10-01-2023 18:19:56.343141,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.16)"
10-01-2023 18:19:57.317488,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.884)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.16)"
10-01-2023 18:19:58.359457,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 1.99, 1.974705882352941)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.504347826086956)"
10-01-2023 18:19:59.362564,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.8269387755102042)","(15.0, 55.0, 51.63934426229508)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.504347826086956)"
10-01-2023 18:20:00.403082,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 55.0, 32.5)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.504347826086956)"
10-01-2023 18:20:01.425797,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 55.0, 32.77777777777778)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.504347826086956)"
10-01-2023 18:20:02.628947,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 55.0, 32.77777777777778)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:03.560935,"(7.5, 14.5, 11.25)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 55.0, 30.3125)","(8.0, 17.0, 14.850000000000001)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:04.545197,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.5, 14.475)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:05.529367,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:06.545643,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:07.567509,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.22)"
10-01-2023 18:20:08.550255,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.22)"
10-01-2023 18:20:09.540988,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 42.25)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:10.565262,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 42.25)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.18)"
10-01-2023 18:20:11.601446,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.199999999999999)"
10-01-2023 18:20:12.578300,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.199999999999999)"
10-01-2023 18:20:13.581717,"(7.5, 14.5, 13.24)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.199999999999999)"
10-01-2023 18:20:14.621715,"(7.5, 14.5, 13.16)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.199999999999999)"
10-01-2023 18:20:15.534127,"(7.5, 14.5, 13.16)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.618181818181819)","(4.0, 6.6, 6.481249999999999)"
10-01-2023 18:20:16.512367,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.481249999999999)"
10-01-2023 18:20:17.462705,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.481249999999999)"
10-01-2023 18:20:18.490724,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:19.511765,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:20.624656,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:21.674659,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:22.708666,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:23.731477,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 40.0)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:24.701695,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.6)","(15.0, 46.0, 41.5)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:25.640497,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.6)","(15.0, 46.0, 39.8)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:26.608750,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:27.677517,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.584)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:28.791110,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:29.689552,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:30.581788,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:31.552457,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:32.586137,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.24)"
10-01-2023 18:20:33.629371,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.26)"
10-01-2023 18:20:34.689882,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.26)"
10-01-2023 18:20:35.649140,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.457142857142856)"
10-01-2023 18:20:36.565269,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.457142857142856)"
10-01-2023 18:20:37.490516,"(7.5, 14.5, 13.2)","(31.0, 100.0, 83.0952380952381)","(1.45, 2.0, 1.592)","(15.0, 46.0, 38.375)","(8.0, 16.0, 14.1)","(4.0, 6.6, 6.457142857142856)"
