,Kilara Boy,Jimbaran Express,Collateral Coin,Alis Mate,Smooth Grace,Kulu Nomad,Mandoza Ripple
10-01-2023 18:56:55.269014,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:56:56.363191,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:56:57.444332,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:56:58.538633,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:56:59.591626,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:57:00.638460,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:57:01.735055,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:57:02.785574,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:57:03.827100,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
10-01-2023 18:57:04.759344,"(2.1, 3.55, 2.6168965517241376)","(5.5, 11.0, 9.38888888888889)","(18.0, 40.0, 36.5625)","(6.5, 11.5, 11.069230769230769)","(5.5, 8.8, 8.306666666666667)","(11.0, 21.0, 20.019607843137255)","(6.0, 16.0, 13.017391304347827)"
