,Artistic Humma,Weasel Nz,Im Isabella,Feel The Thrill,Matai Reactor,Schooby,My Ultimate Heston,Rafferty Delights,Office Bad Boy
11-01-2023 20:37:03.363794,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:04.703748,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:06.055922,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:07.453222,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:08.862651,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:10.709225,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:12.522887,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:13.944576,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:15.414321,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:16.882064,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.136)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:18.320257,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:19.712315,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:21.182987,"(101.0, 210.0, 163.33333333333334)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:22.580710,"(101.0, 490.0, 320.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:23.980999,"(101.0, 490.0, 447.5)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:25.375044,"(101.0, 480.0, 406.66666666666663)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:26.750678,"(101.0, 480.0, 406.66666666666663)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:28.166004,"(101.0, 480.0, 406.66666666666663)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:29.553463,"(101.0, 480.0, 406.66666666666663)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:31.070457,"(101.0, 480.0, 406.66666666666663)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:32.642705,"(101.0, 480.0, 356.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:34.170844,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:35.706644,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:37.354412,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 13.5)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:39.055097,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 14.071428571428571)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:40.553888,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 14.071428571428571)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:42.001433,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 14.071428571428571)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:43.494813,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 14.071428571428571)","(2.2, 3.25, 3.1075)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
11-01-2023 20:37:44.967666,"(101.0, 480.0, 330.0)","(11.0, 99999, 99990)","(41.0, 130.0, 119.25)","(10.0, 15.5, 14.071428571428571)","(2.2, 3.25, 3.228846153846154)","(3.8, 5.1, 4.127777777777778)","(7.0, 11.5, 9.95)","(20.0, 42.0, 29.333333333333332)","(5.5, 9.2, 8.08)"
