,The Englishman,Gago,Were Da Ya Get It,West Cork,Huracanevo,Utopian Spirit,Moscow Night,Esky,Pure Hydrogen,Romeos Choice
11-01-2023 13:11:59.344497,"(3.2, 3.85, 3.7763269639065817)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.742857142857143)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.718518518518518)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.476923076923077)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 13.897058823529411)","(26.0, 32.0, 31.23076923076923)"
11-01-2023 13:12:00.538218,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.718518518518518)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.476923076923077)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 14.107142857142858)","(26.0, 32.0, 31.23076923076923)"
11-01-2023 13:12:01.790291,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.718518518518518)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.333333333333333)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 14.107142857142858)","(26.0, 32.0, 31.23076923076923)"
11-01-2023 13:12:03.079211,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.35)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 14.0)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:04.402584,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.35)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 14.038461538461538)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:05.699246,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.6, 6.254545454545455)","(31.0, 60.0, 55.63636363636363)","(11.0, 15.0, 14.083333333333334)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:06.916270,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.180645161290323)","(31.0, 60.0, 55.63636363636363)","(11.0, 14.5, 13.73076923076923)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:08.097918,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.180645161290323)","(31.0, 60.0, 55.63636363636363)","(11.0, 14.5, 13.73076923076923)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:09.229735,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.180645161290323)","(31.0, 60.0, 55.63636363636363)","(11.0, 14.5, 13.73076923076923)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:10.438577,"(3.2, 3.85, 3.7761702127659573)","(26.0, 34.0, 32.57142857142857)","(5.0, 5.8, 5.769230769230769)","(15.0, 18.0, 16.764705882352942)","(6.0, 8.0, 7.7221374045801525)","(14.0, 18.0, 16.863636363636363)","(5.5, 6.4, 6.180645161290323)","(31.0, 60.0, 55.63636363636363)","(11.0, 14.5, 13.73076923076923)","(26.0, 32.0, 30.88888888888889)"
