,Mallee Swan,Bonnies Beast,Wichita Bale,Crystal Opal,Mcivor Rusty,Tiggerlong Rebel,Phoenix Flight,Loch
11-01-2023 15:13:56.888089,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 15.222222222222221)","(61.0, 550.0, 478.0)"
11-01-2023 15:13:57.956117,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 15.222222222222221)","(61.0, 550.0, 478.0)"
11-01-2023 15:13:59.079676,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 478.0)"
11-01-2023 15:14:00.250681,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 478.0)"
11-01-2023 15:14:01.392446,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 478.0)"
11-01-2023 15:14:02.483975,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 478.0)"
11-01-2023 15:14:03.573761,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 54.26470588235294)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:04.769442,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 129.5)","(10.0, 22.0, 18.16)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:05.911226,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:06.994787,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:08.156903,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:09.316196,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:10.334126,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:11.383086,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:12.531346,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:13.536611,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:14.574224,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 16.272727272727273)","(61.0, 550.0, 236.25)"
11-01-2023 15:14:15.638742,"(3.0, 4.9, 3.606511627906977)","(2.5, 3.85, 2.496578947368421)","(31.0, 260.0, 90.5)","(10.0, 22.0, 13.6)","(4.2, 7.2, 4.533333333333333)","(21.0, 70.0, 32.54545454545455)","(6.5, 22.0, 15.5)","(61.0, 550.0, 236.25)"
