,Chips In,Guru Bart,Bank Heist,Velocity Kayla,Zip Stream,Erskin Boy,Tokyo Chief,Ring Me
11-01-2023 20:17:06.491955,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:07.810683,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:09.124939,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:10.370230,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:11.644911,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:12.934513,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:14.210811,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:15.526748,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:16.871771,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:18.217529,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:19.527406,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 600.0)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:20.787909,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:22.095922,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:23.395730,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:24.728161,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:26.004171,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:27.219384,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:28.472997,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 18.0)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:29.627096,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 26.0, 21.75)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:30.814768,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 25.0, 21.75)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:31.981019,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 25.0, 21.75)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
11-01-2023 20:17:33.210076,"(3.4, 6.2, 5.644444444444445)","(13.0, 27.0, 23.666666666666668)","(4.0, 8.8, 8.3)","(11.0, 25.0, 21.75)","(4.8, 7.8, 7.473684210526315)","(101.0, 730.0, 625.0)","(101.0, 730.0, 622.5)","(2.4, 3.35, 3.2788000000000004)"
