,Yuri Magic,Sisu,Mexicali Jane,Be Like Oliver,Saron,Velocity Cazau,Angel Harks,Rybolt
11-01-2023 19:56:42.806079,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 17.454545454545453)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:44.087400,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 17.454545454545453)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:45.417616,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 17.454545454545453)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:46.711230,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:47.995958,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:49.241402,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:50.507761,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:51.817648,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:53.051031,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
11-01-2023 19:56:54.244962,"(2.35, 4.3, 2.7425)","(5.5, 9.8, 9.110000000000001)","(17.0, 55.0, 27.363636363636363)","(26.0, 100.0, 53.230769230769226)","(21.0, 65.0, 31.90909090909091)","(31.0, 130.0, 67.84615384615384)","(11.0, 32.0, 16.727272727272727)","(2.15, 2.58, 2.234545454545455)"
