,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:28:39.746658,"(3.2, 6.2, 4.6)","(6.5, 9.8, 8.9)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 10.5, 7.86)","(12.0, 22.0, 18.25)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:41.335484,"(3.2, 6.2, 4.6)","(6.5, 9.8, 9.08)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 10.5, 7.86)","(12.0, 22.0, 18.42857142857143)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:42.833014,"(3.2, 6.2, 5.28)","(6.5, 9.8, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 10.5, 8.6)","(12.0, 21.0, 18.42857142857143)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:44.327121,"(3.2, 6.2, 5.853846153846154)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 10.0, 8.4)","(12.0, 21.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:45.737682,"(3.2, 6.2, 5.853846153846154)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.6, 8.08)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:47.068192,"(3.2, 6.2, 4.66)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.4, 8.5)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:48.503520,"(3.2, 6.2, 5.024)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.8, 8.16)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:49.937629,"(3.2, 6.2, 5.024)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.6, 8.3)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:51.438887,"(3.2, 6.2, 4.955555555555556)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.4, 8.3)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
11-01-2023 19:28:52.920949,"(3.2, 6.2, 5.26)","(6.5, 9.6, 9.2)","(21.0, 38.0, 30.5)","(14.0, 26.0, 24.384615384615387)","(6.0, 9.4, 8.3)","(12.0, 20.0, 16.0)","(5.0, 7.2, 6.925000000000001)","(5.0, 8.0, 7.5200000000000005)","(10.0, 19.0, 16.333333333333332)"
