,Euro Beat Nz,Oursouthernstar,Mister Haywood,Voodoo Lou,London Legs,Eagle Commander,Dark Terror
11-01-2023 18:21:58.840107,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:00.045978,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:01.380711,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:02.550141,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:03.982421,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:05.055693,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:06.155662,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:07.381160,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:08.527366,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:09.584346,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
