,Cincinnati,Island Caesar,Tyabb Wonder,Ittakesluv,Im Eugene,Machavelli,Double Happiness,Deuce Coupe Nz,The Huntress
11-01-2023 17:47:13.346263,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:14.533248,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:15.639843,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:16.813843,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:17.976585,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:19.204315,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:20.407607,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 24.333333333333332)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:21.638675,"(31.0, 100.0, 56.0)","(31.0, 90.0, 51.33333333333333)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:22.783062,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:23.985521,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:25.268123,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:26.492942,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.756666666666668)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:27.825385,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:29.244402,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:30.546078,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:31.892030,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:33.421707,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:34.690144,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:36.035253,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:37.388092,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:38.625307,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
11-01-2023 17:47:39.881787,"(31.0, 100.0, 78.0)","(31.0, 90.0, 70.66666666666666)","(4.0, 5.9, 5.76)","(18.0, 42.0, 24.375)","(21.0, 38.0, 23.375)","(18.0, 40.0, 32.166666666666664)","(20.0, 42.0, 27.0)","(5.0, 99999, 99990)","(1.65, 2.06, 2.0105)"
