,Villainess,Overhyped,Silver Valley,Good Charlotte,Barney Sun,My Shout Zoe,Nick The Quick,Dr Topaz
11-01-2023 20:17:07.616608,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:08.915804,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:10.174619,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:11.476572,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:12.789223,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:14.097204,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:15.416099,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:16.731866,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.2)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:18.046237,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 4.778125)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
11-01-2023 20:17:19.299052,"(31.0, 290.0, 152.3529411764706)","(3.8, 8.8, 6.145833333333334)","(13.0, 26.0, 19.333333333333336)","(20.0, 60.0, 29.81818181818182)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.899999999999999)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 19.27777777777778)"
