,Allegro Tori,Big Time Polo,Check Me Out,Allegro Barrel,Big Time Slay,Adobe Underworld,Big Time Ring,Highview Moose
11-01-2023 13:20:22.086175,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 65.0, 31.666666666666668)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 75.21428571428571)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:23.267498,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 31.666666666666668)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 75.21428571428571)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:24.350388,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 31.666666666666668)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 75.21428571428571)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:25.477111,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 31.666666666666668)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 75.21428571428571)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:26.562348,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 31.666666666666668)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 107.55555555555556)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:27.709086,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 180.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:28.869222,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:30.119774,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:31.259440,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:32.308065,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:33.392041,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.02875)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:34.578161,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.18, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:35.703676,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:36.836467,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:37.954425,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:39.065002,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:40.232588,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:41.393999,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:42.518943,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:43.593884,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:44.640225,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:45.748010,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:46.906600,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:48.107341,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:49.239481,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:50.389127,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
11-01-2023 13:20:51.448970,"(8.5, 18.5, 17.21764705882353)","(6.5, 13.5, 12.77)","(11.0, 25.0, 23.636363636363633)","(14.0, 34.0, 30.92857142857143)","(1.55, 2.48, 2.295)","(18.0, 170.0, 93.5)","(8.5, 17.5, 16.259999999999998)","(12.0, 30.0, 27.88888888888889)"
