,Lavradore Nz,Evas Image,Chicago H Nz,Kell Road Kid,Aldebaran Sundown,Line The Starzzz
11-01-2023 20:32:06.994915,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 176.66666666666669)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:07.997562,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 176.66666666666669)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:09.092694,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 176.66666666666669)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:10.232187,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 176.66666666666669)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:11.321674,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 170.0)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:12.243138,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:13.179963,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:14.330610,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:15.419176,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:16.512052,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
11-01-2023 20:32:17.598665,"(7.0, 99999, 99990)","(1.24, 1.4, 1.3824390243902438)","(11.0, 99999, 99990)","(101.0, 190.0, 172.72727272727275)","(12.0, 21.0, 18.0)","(6.5, 11.5, 10.35)"
