,Toxic Impurities,Missouri Belle,Springvale Coco,Roger Rose,Calaiss Wohling,Steel Harbour
11-01-2023 13:40:25.941399,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.122)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:27.006792,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.122)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:28.172020,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.243333333333333)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:29.343201,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.243333333333333)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:30.470168,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.243333333333333)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:31.543357,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.243333333333333)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:32.541455,"(2.05, 2.3, 2.2950746268656714)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.243333333333333)","(9.0, 16.5, 14.414285714285715)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:33.536114,"(2.05, 2.3, 2.2456962025316454)","(15.0, 32.0, 21.866666666666667)","(2.15, 3.85, 3.122)","(9.0, 16.0, 12.6)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:34.514749,"(2.05, 2.3, 2.2456962025316454)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.122)","(9.0, 16.0, 11.825)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:35.671879,"(2.05, 2.3, 2.2456962025316454)","(15.0, 32.0, 23.23076923076923)","(2.15, 3.85, 3.122)","(9.0, 15.5, 11.825)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
