,Caribbean Baby,Heavens Baby,Kerrie Be,Singer Snap,Holme Boy,Yarraman Needy,Snack Time Rocks,Boom Boom Boy
11-01-2023 21:35:22.066405,"(41.0, 110.0, 90.57142857142857)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.4, 5.2250000000000005)","(21.0, 44.0, 36.0)","(7.5, 14.0, 11.666666666666666)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:23.227088,"(41.0, 110.0, 90.57142857142857)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.4, 5.2250000000000005)","(21.0, 44.0, 36.0)","(7.5, 14.0, 11.666666666666666)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:24.386763,"(41.0, 110.0, 90.57142857142857)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.4, 5.2250000000000005)","(21.0, 44.0, 36.0)","(7.5, 14.0, 11.666666666666666)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:25.608325,"(41.0, 110.0, 90.57142857142857)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.4, 4.75)","(21.0, 44.0, 36.0)","(7.5, 14.0, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:26.821409,"(41.0, 110.0, 90.57142857142857)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.4, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:28.036304,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:29.171022,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:30.409675,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:31.570276,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
11-01-2023 21:35:32.692778,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.3, 4.58)","(21.0, 44.0, 36.0)","(7.5, 13.5, 11.7)","(41.0, 140.0, 76.0)"
