,Phelan Seedy,Ones Opinion,Afternoon,Dan Dan,Handsome Jack,Shes Not Normal,Got The Torque,Gold Driller
11-01-2023 19:13:29.740853,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 12.942857142857143)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.4799999999999995)"
11-01-2023 19:13:30.752725,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.4799999999999995)"
11-01-2023 19:13:31.807803,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.4799999999999995)"
11-01-2023 19:13:32.913047,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.4799999999999995)"
11-01-2023 19:13:33.939655,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.725)"
11-01-2023 19:13:35.007430,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.64)"
11-01-2023 19:13:36.098262,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.64)"
11-01-2023 19:13:37.224007,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.658823529411764)"
11-01-2023 19:13:38.631081,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.658823529411764)"
11-01-2023 19:13:39.761037,"(8.0, 17.0, 11.48)","(5.5, 9.0, 6.944444444444445)","(6.0, 9.4, 8.621052631578948)","(26.0, 120.0, 60.0)","(3.3, 5.4, 3.781578947368421)","(8.0, 15.0, 13.066666666666666)","(5.5, 9.0, 8.2)","(4.8, 8.2, 5.4799999999999995)"
