,Willful Bale,Rockstar Ohlmus,Zipping Bonanza,Jolene Bale,Hill Top Jonah,Ivy Isobel,Gypsy Play,Irving Bale
11-01-2023 21:03:54.278562,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 31.545454545454547)","(2.15, 2.74, 2.526666666666667)"
11-01-2023 21:03:55.693042,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.74, 2.623636363636364)"
11-01-2023 21:03:57.161209,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.74, 2.623636363636364)"
11-01-2023 21:03:58.575438,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.74, 2.623636363636364)"
11-01-2023 21:03:59.945157,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.74, 2.393684210526316)"
11-01-2023 21:04:01.277451,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:02.572815,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:03.852600,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:05.152405,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:06.457109,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:07.854552,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:09.262961,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:10.754418,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 80.4)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:12.165907,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 390.0, 101.66666666666666)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 34.666666666666664)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:13.534066,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 149.0769230769231)","(41.0, 380.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 32.27272727272727)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:15.283420,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 32.27272727272727)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:16.704031,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 32.27272727272727)","(2.15, 2.72, 2.4042105263157896)"
11-01-2023 21:04:18.160364,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.208)","(18.0, 65.0, 42.25)","(2.15, 2.72, 2.3866666666666667)"
11-01-2023 21:04:19.543381,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.609999999999999)","(18.0, 65.0, 42.25)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:20.905557,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.72, 2.3080000000000003)"
11-01-2023 21:04:22.224834,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:23.538267,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:24.805684,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:26.045320,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:27.360252,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:28.661610,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:29.989141,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:31.393814,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.264615384615385)"
